# Extreme Switch Portal User Accounts Configuration
# Format: username:password:role:Full Name
#
# Available Roles:
#  - network_admin  : Full administrative access to all features + Rollout Multi-Switch Config + Audit Log Viewer
#  - service_desk   : Access to operational features (Backups, Port Bounces, Search, Ping, Monitor, Diagrams)
#                     *Restricted from mass multi-switch rollout scripts*
#
# You can add more users on new lines below or edit passwords anytime.

# Network Engineering & Admin Accounts (Full Access)
netadmin:NetworkTeam2026!:network_admin:IT Network Team
netadmins:NetworkTeam2026!:network_admin:Network Admin Team

# Service Desk Accounts (Operational Access Only - Multi-Switch Configure Restricted)
servicedesk:ServiceDesk2026!:service_desk:Service Desk Team
bill.gates:ServiceDesk2026!:service_desk:Bill Gates (Service Desk)
alex.jones:ServiceDesk2026!:service_desk:Alex Jones (Service Desk)
emma.watson:ServiceDesk2026!:service_desk:Emma Watson (Service Desk)
liam.miller:ServiceDesk2026!:service_desk:Liam Miller (Service Desk)
olivia.davis:ServiceDesk2026!:service_desk:Olivia Davis (Service Desk)
lucas.taylor:ServiceDesk2026!:service_desk:Lucas Taylor (Service Desk)
sophia.brown:ServiceDesk2026!:service_desk:Sophia Brown (Service Desk)
ethan.clark:ServiceDesk2026!:service_desk:Ethan Clark (Service Desk)
mia.wilson:ServiceDesk2026!:service_desk:Mia Wilson (Service Desk)
noah.harris:ServiceDesk2026!:service_desk:Noah Harris (Service Desk)
mason.white:ServiceDesk2026!:service_desk:Mason White (Service Desk)
chloe.thomas:ServiceDesk2026!:service_desk:Chloe Thomas (Service Desk)
logan.moore:ServiceDesk2026!:service_desk:Logan Moore (Service Desk)
isabella.king:ServiceDesk2026!:service_desk:Isabella King (Service Desk)
james.walker:ServiceDesk2026!:service_desk:James Walker (Service Desk)
lily.carter:ServiceDesk2026!:service_desk:Lily Carter (Service Desk)
